timer,fight_result,is_round_over,player1_health,player1_x_coord,player1_is_jumping,player1_is_crouching,player2_health,player2_x_coord,player2_is_jumping,player2_is_crouching,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left
149,0,0,160,208,1,0,155,320,1,0,0,0,0,0
149,0,0,160,208,1,0,155,321,1,0,0,0,0,0
149,0,0,160,208,1,0,155,322,1,0,0,0,0,1
149,0,0,160,208,1,0,155,324,1,0,0,1,0,1
149,0,0,160,208,1,0,155,325,1,0,0,0,0,0
149,0,0,160,208,1,0,155,327,0,0,0,1,0,0
149,0,0,160,208,1,0,155,328,0,0,0,1,1,0
149,0,0,160,208,1,0,155,329,0,0,0,0,0,0
149,0,0,160,208,1,0,155,329,0,0,0,0,1,0
149,0,0,160,208,1,0,155,329,0,0,0,0,0,0
149,0,0,160,208,1,0,155,330,0,0,0,0,0,0
149,0,0,160,208,1,0,155,330,0,0,0,0,0,1
149,0,0,160,208,0,0,155,330,0,0,0,1,0,1
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,208,0,0,155,331,0,0,0,1,0,0
149,0,0,160,208,0,0,155,331,0,0,0,1,1,0
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,208,0,0,155,331,0,0,0,0,1,0
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,208,0,0,155,331,0,0,0,0,0,1
149,0,0,160,208,0,0,155,331,0,0,0,1,0,1
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,208,0,0,155,331,0,0,0,1,0,0
149,0,0,160,208,0,0,155,331,0,0,0,1,1,0
149,0,0,160,208,0,0,155,331,0,0,0,0,0,0
149,0,0,160,211,1,0,155,331,0,0,0,0,1,0
149,0,0,160,213,1,0,155,331,0,0,0,0,0,0
149,0,0,160,214,1,0,155,331,0,0,0,0,0,0
149,0,0,160,217,1,0,155,331,0,0,0,0,0,1
148,0,0,160,218,1,0,155,331,0,0,0,1,0,1
148,0,0,160,218,1,0,155,331,0,0,0,0,0,0
148,0,0,160,219,1,0,155,331,0,0,0,1,0,0
